OBJECTID,EPAID,SITENAME,SITEADDR,SITECITY,SITECOUNTY,LATITUDE,LONGITUDE,GEOLOC_COD,SOURCE,Land_Use_R,Vol_Cleanu,Laserfiche,Update Date,x,y
48250,NONCD0003384,ERWIN HILLS ROAD PFAS,180 ERWIN HILLS RD,ASHEVILLE,BUNCOMBE,35.6209884,-82.6215064,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ESRI AGOL BASE MAP,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0003384*%22%7D,7/2/2026 12:00:00 AM,-82.6215064,35.6209884
48251,NCD093775302,"CASCADE DIE CASTING GROUP, INC.",1800 ALBERTSON RD,HIGH POINT,GUILFORD,35.92916,-80.02766,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0003384*%22%7D,7/2/2026 12:00:00 AM,-80.02766,35.92916
48252,NONCD0003385,L. J. ROGERS TRUCKING PROPERTY,7723 OAKWOOD ST EXT,MEBANE,ORANGE,36.080311,-79.25512,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,GOOGLE MAPS,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NCD093775302*%22%7D,7/2/2026 12:00:00 AM,-79.25512,36.0803110000001
48253,NONCD0003386,WHITEHEAD STREET PCE,48 W WHITEHEAD ST,SPARTA,ALLEGHANY,36.5049,-81.12178,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ESRI AGOL BASE MAP,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0003385*%22%7D,7/2/2026 12:00:00 AM,-81.1217799999999,36.5049000000001
48254,NONCD0003387,ORIOLE DRIVE PFAS,701 ORIOLE DRIVE,HENDERSONVILLE,HENDERSON,35.32862,-82.45969,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0003386*%22%7D,7/2/2026 12:00:00 AM,-82.45969,35.3286200000001
48255,NONCD0003389,ONE HOUR KORETIZING FALLS RD,202 FALLS RD,ROCKY MOUNT,NASH,35.9445,-77.79482,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0003387*%22%7D,7/2/2026 12:00:00 AM,-77.79482,35.9445000000001
48256,NONCD0003388,PAINT AND SIGN SHOP DURHAM,1100 N ALSTON AVE,DURHAM,DURHAM,35.99628,-78.8857,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0003389*%22%7D,7/2/2026 12:00:00 AM,-78.8857,35.9962800000001
48257,NONCD0003390,POPLAR STREET PFAS,2050 W POPLAR STREET,GASTONIA,GASTON,35.2727,-81.2176,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ESRI AGOL BASE MAP,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0003388*%22%7D,7/2/2026 12:00:00 AM,-81.2175999999999,35.2727
48258,NCD981861255,J & T BODY SHOP,2444 WILKINSON BLVD,CHARLOTTE,MECKLENBURG,35.22413,-80.8818,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,GOOGLE MAPS,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0003390*%22%7D,7/2/2026 12:00:00 AM,-80.8817999999999,35.2241300000001
48259,NONCD0003391,WENDELL BLVD PFAS,538 WENDELL BLVD,WENDELL,WAKE,35.802779,-78.420419,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ESRI AGOL BASE MAP,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NCD981861255*%22%7D,7/2/2026 12:00:00 AM,-78.420419,35.802779
