EPAID,SITENAME,SITEADDR,SITECITY,SITECOUNTY,LATITUDE,LONGITUDE
NONCD0003384,ERWIN HILLS ROAD PFAS,180 ERWIN HILLS RD,ASHEVILLE,BUNCOMBE,35.6209884,-82.6215064
NCD093775302,"CASCADE DIE CASTING GROUP, INC.",1800 ALBERTSON RD,HIGH POINT,GUILFORD,35.92916,-80.02766
NONCD0003385,L. J. ROGERS TRUCKING PROPERTY,7723 OAKWOOD ST EXT,MEBANE,ORANGE,36.080311,-79.25512
NONCD0003386,WHITEHEAD STREET PCE,48 W WHITEHEAD ST,SPARTA,ALLEGHANY,36.5049,-81.12178
NONCD0003387,ORIOLE DRIVE PFAS,701 ORIOLE DRIVE,HENDERSONVILLE,HENDERSON,35.32862,-82.45969
NONCD0003389,ONE HOUR KORETIZING FALLS RD,202 FALLS RD,ROCKY MOUNT,NASH,35.9445,-77.79482
NONCD0003388,PAINT AND SIGN SHOP DURHAM,1100 N ALSTON AVE,DURHAM,DURHAM,35.99628,-78.8857
NONCD0003390,POPLAR STREET PFAS,2050 W POPLAR STREET,GASTONIA,GASTON,35.2727,-81.2176
NCD981861255,J & T BODY SHOP,2444 WILKINSON BLVD,CHARLOTTE,MECKLENBURG,35.22413,-80.8818
NONCD0003391,WENDELL BLVD PFAS,538 WENDELL BLVD,WENDELL,WAKE,35.802779,-78.420419
NONCD0003392,ALBERTSON ROAD PCBS,1800 ALBERTSON RD,HIGH POINT,GUILFORD,35.92903,-80.027597
NONCD0003393,TRYON RD GOLF COURSE,1610 TRYON RD,RALEIGH,WAKE,35.74028,-78.662762
NC0000056689,HITACHI CHINA GROVE,1 HITACHI METALS DRIVE,CHINA GROVE,ROWAN,35.57384,-80.55116
NC0000998336,CP PROPERTIES,2350 BROWN ROAD,SANFORD,LEE,35.554798,-79.194873
NC0001206473,GLEN RAVEN MILLS,TUCKER STREET C,BURLINGTON,ALAMANCE,36.0857,-79.43523
NC0001279710,WOODY WILSON BATTERY/ASHLEY HEIGHTS,301 OLD PINEHURST RD,ASHLEY HEIGHTS,HOKE,35.09863,-79.36562
NC0001402213,ELLIS JUNK YARD,NEEDMORE DRIVE,HAYESVILLE,CLAY,35.00764,-83.73101
NC0210020541,US DOD MILITARY OCEAN TERMINAL,SUNNY POINT OCEAN TERMINL,SOUTHPORT,BRUNSWICK,34.00799,-77.96147
NC5210022906,USA RESERVE XVIII AIRBORNE CORPS,405 FISHER ST,MOREHEAD CITY,CARTERET,34.72276,-76.70668
NCD000006361,SUPERIOR ELECTRO FINISHES,115 EAST CORUM ST,KERNERSVILLE,FORSYTH,36.11653,-80.06889
NCD000281832,SANFORD PLATING COMPANY,SR 1466,SANFORD,LEE,35.56386,-79.16967
NCD000604322,SINGER CO/FURNITURE DIV PLTS 3,904 VIRGINIA STREET,LENOIR,CALDWELL,35.89301,-81.55411
NCD000605303,"FEDERAL PAPER BOARD CO., INC.",865 JOHN L RIEGEL RD,RIEGELWOOD,COLUMBUS,34.35363,-78.21273
NCD000608117,CELANESE CORPORATION/FIBERS TECH,2300 ARCHDALE DR,CHARLOTTE,MECKLENBURG,35.147625,-80.863381
NCD000609982,UNION OIL CO. SE TERM/PAW CREEK,7300 OLD MT HOLLY RD,PAW CREEK,MECKLENBURG,35.27712,-80.93233
NCD000613273,PRAXAIR SURFACE TECHNOLOGIES,8501 OLD STATESVILLE RD,CHARLOTTE,MECKLENBURG,35.33807,-80.82555
NCD000615872,AMP INCORPORATED,1260 SHANNON-BRADLEY RD,GASTONIA,GASTON,35.27341,-81.23661
NCD000616219,GA-PACIFIC CORP,HWY 177 S,HAMLET,RICHMOND,34.87093,-79.73319
NCD000616516,SCOVILL INC/SECURITY PRODUCTS,HWY 74 E,MONROE,UNION,34.97839,-80.48635
NCD000623223,MARTIN MANUFACTURING PROPERTIES,E MAIN ST US 17,WILLIAMSTON,MARTIN,35.85987,-77.04475
NCD000653576,KERN RUBBER CO. URETHANE PLANT,1415 JAKE ALEXANDER RD S,SALISBURY,ROWAN,35.64038,-80.47708
NCD000770016,TEXAS CITY REFINING COMPANY,7325 OLD MT HOLLY RD,PAW CREEK,MECKLENBURG,35.27766,-80.92838
NCD000772046,MOBIL OIL CORP/KOCH REFINING,3334 RIVER RD,WILMINGTON,NEW HANOVER,34.18228,-77.95234
NCD000773507,GA-PACIFIC CORP/HDWD SAW,S DENNIS ST EXTENSION,ENFIELD,HALIFAX,36.15894,-77.69349
NCD000773515,GA-PACIFIC CORP/HDWD SAW,SR 1301,BOWDENS,DUPLIN,35.06129,-78.11837
NCD000813501,UNITED FURNITURE INDUSTRIES,401 W HANES MILL BLVD,WINSTON-SALEM,FORSYTH,36.18299,-80.28539
